name	mstar16	mstar50	mstar84
636353	9.042	9.052	9.167
638594	9.962	9.977	10.040
640662	9.272	9.387	9.492
640954	9.402	9.477	9.537
641021	9.127	9.142	9.212
641140	9.487	9.567	9.642
641198	9.252	9.357	9.412
641287	8.927	9.022	9.132
641396	10.530	10.660	10.750
641753	10.080	10.140	10.180
641914	9.307	9.392	9.472
642349	9.292	9.462	9.622
642600	9.472	9.677	9.697
643037	9.372	9.432	9.497
643160	9.872	9.882	9.882
643225	9.142	9.167	9.262
643242	10.090	10.180	10.250
643292	9.207	9.292	9.297
643304	10.220	10.300	10.360
643458	9.652	9.782	9.872
643572	8.867	9.042	9.197
643579	9.077	9.227	9.302
643815	9.322	9.392	9.457
643899	9.067	9.292	9.472
643969	9.482	9.487	9.487
643974	9.842	9.912	9.987
644102	9.427	9.472	9.597
644169	10.550	10.560	10.560
644354	8.972	9.017	9.102
644466	9.192	9.407	9.442
644986	11.000	11.040	11.130
645074	9.467	9.507	9.507
645262	9.027	9.027	9.042
645479	10.040	10.120	10.190
645486	9.052	9.127	9.322
645536	9.727	9.832	9.927
645793	9.622	9.727	9.842
645985	9.427	9.497	9.567
646176	8.437	9.032	9.617
646253	9.337	9.407	9.487
646344	10.550	10.550	10.560
646346	9.392	9.542	9.672
646595	8.902	9.052	9.157
646610	9.127	9.207	9.312
646651	9.092	9.182	9.327
646739	10.200	10.370	10.470
646770	10.160	10.520	10.560
646934	9.502	9.562	9.637
647166	9.787	9.852	9.932
647203	8.937	9.062	9.197
647269	9.532	9.537	9.567
647433	9.032	9.072	9.147
647458	10.330	10.390	10.460
647708	8.902	9.247	9.287
647735	9.212	9.307	9.317
647737	9.157	9.232	9.287
647741	9.892	9.947	10.020
647962	10.250	10.310	10.330
648039	9.887	9.972	10.040
648127	9.242	9.377	9.437
648232	9.112	9.182	9.237
648328	9.952	10.060	10.080
648366	9.382	9.492	9.612
648369	10.300	10.440	10.480
648381	9.642	9.737	9.822
648753	10.270	10.370	10.460
648772	10.170	10.170	10.170
648985	10.460	10.610	10.710
648988	9.732	9.772	9.827
649246	9.807	9.927	10.020
649496	8.982	9.072	9.137
649547	9.162	9.607	9.867
649860	10.130	10.190	10.300
650034	9.937	10.070	10.170
650046	10.060	10.350	10.500
650081	10.460	10.500	10.510
650282	9.452	9.627	9.777
650326	10.790	10.810	10.930
650352	9.062	9.187	9.192
650450	8.842	9.232	9.232
650578	9.312	9.437	9.552
650642	8.982	9.152	9.267
650676	9.172	9.257	9.307
650795	10.520	10.580	10.640
650829	9.632	9.682	9.687
650850	9.442	9.542	9.672
650931	9.602	9.657	9.757
650932	8.902	9.022	9.097
651108	10.690	10.690	10.780
651146	9.332	9.407	9.477
651179	9.432	9.607	9.772
651221	9.157	9.162	9.162
651273	9.392	9.392	9.417
651292	10.490	10.600	10.690
651308	10.010	10.060	10.100
651386	9.757	9.757	9.827
651418	8.772	9.017	9.207
651447	9.967	9.987	10.030
651452	9.932	10.070	10.120
651497	9.602	9.607	9.607
651510	9.822	9.837	10.110
651584	11.170	11.170	11.170
